Time,Fila Max,Ocupacao,E[N],E[W],Lambda,Erro de Little
17700.000000,31,0.800315,3.935536,-1.332932,1.986271,6.583100
17800.000000,31,0.799719,3.923226,-1.367226,1.984831,6.636940
17900.000000,31,0.800117,3.930672,-0.751163,1.985531,5.422128
18000.000000,31,0.801092,3.957525,-0.733467,1.985778,5.414027
18100.000000,31,0.800585,3.945488,-0.623415,1.985249,5.183122
18200.000000,31,0.801106,3.942003,-0.557411,1.985330,5.048647
18300.000000,31,0.801569,3.939356,-0.730927,1.985519,5.390626
18400.000000,31,0.801319,3.932062,-1.190545,1.986359,6.296911
18500.000000,31,0.801437,3.937859,-1.254540,1.986432,6.429917
18600.000000,31,0.802099,3.945948,-1.304967,1.986129,6.537782
18700.000000,31,0.802582,3.953663,-0.676763,1.986364,5.297962
18800.000000,31,0.802251,3.946616,-0.640044,1.986064,5.217783
18900.000000,31,0.802652,3.953265,-0.836971,1.987249,5.616534
19000.000000,31,0.802685,3.949738,-0.857423,1.987158,5.653573
19100.000000,31,0.802868,3.946018,-1.041384,1.987958,6.016245
19200.000000,31,0.802786,3.936530,-1.452169,1.987917,6.823321
19300.000000,31,0.802660,3.928433,-0.901797,1.989171,5.722263
19400.000000,31,0.802689,3.923766,-0.816551,1.989021,5.547902
19500.000000,31,0.802356,3.914085,-0.478708,1.989744,4.866590
19600.000000,31,0.802280,3.908508,-0.138321,1.988776,4.183598
19700.000000,31,0.802156,3.911133,-0.083860,1.988832,4.077916
19800.000000,31,0.802173,3.905124,0.031289,1.988939,3.842893
19900.000000,31,0.801858,3.895255,0.105621,1.988794,3.685195
20000.000000,31,0.801691,3.886046,-0.193687,1.990150,4.271513
20100.000000,31,0.802022,3.902029,-0.121750,1.990945,4.144426
20200.000000,31,0.801531,3.892467,-0.607912,1.990891,5.102754
20300.000000,31,0.801478,3.892647,-0.463020,1.990936,4.814490
20400.000000,31,0.801547,3.889271,-0.583478,1.992059,5.051592
20500.000000,31,0.801888,3.917482,-0.310568,1.991659,4.536029
20600.000000,31,0.801638,3.912941,-0.247256,1.991699,4.405400
20700.000000,31,0.801548,3.907815,-0.265310,1.991449,4.436167
20800.000000,31,0.801991,3.911222,0.009114,1.992163,3.893066
20900.000000,31,0.801922,3.903388,0.082992,1.992344,3.738039
21000.000000,31,0.801578,3.900396,-0.081202,1.991286,4.062092
21100.000000,31,0.801816,3.896509,-0.780917,1.991374,5.451608
21200.000000,31,0.801260,3.885893,-1.171976,1.990142,6.218291
21300.000000,31,0.801796,3.909204,-1.178407,1.992066,6.256668
21400.000000,31,0.801767,3.908784,-1.427277,1.992009,6.751933
21500.000000,31,0.801145,3.898606,-1.351045,1.990698,6.588128
21600.000000,31,0.801217,3.899471,-1.359964,1.990694,6.606743
21700.000000,31,0.801010,3.904638,-1.278619,1.990369,6.449562
21800.000000,31,0.801543,3.911541,-1.274608,1.991789,6.450292
21900.000000,31,0.801720,3.910414,-1.151253,1.992237,6.203982
22000.000000,31,0.800913,3.901292,-0.690021,1.991045,5.275156
22100.000000,31,0.800213,3.890043,-0.486985,1.990860,4.859561
22200.000000,31,0.799739,3.881148,-0.504291,1.990135,4.884755
22300.000000,31,0.799319,3.871737,-0.424055,1.988520,4.714980
22400.000000,31,0.799882,3.903729,-0.432003,1.989509,4.763202
22500.000000,31,0.800036,3.900185,-2.879104,1.989289,9.627554
22600.000000,31,0.799488,3.891995,-3.535964,1.988274,10.922462
22700.000000,31,0.799275,3.885683,-3.784881,1.988062,11.410260
22800.000000,31,0.798866,3.876895,-3.543172,1.987763,10.919882
22900.000000,31,0.799106,3.878630,-3.528517,1.988428,10.894832
23000.000000,31,0.799098,3.876159,-3.427879,1.988870,10.693764
23100.000000,31,0.798856,3.866899,-3.294997,1.988788,10.419950
23200.000000,31,0.798445,3.860830,-3.311620,1.988017,10.444389
23300.000000,31,0.797974,3.851819,-3.258865,1.987811,10.329828
23400.000000,31,0.798442,3.863192,-2.942764,1.987906,9.713129
23500.000000,31,0.798744,3.874672,-3.675452,1.988851,11.184598
23600.000000,31,0.799203,3.884719,-3.846865,1.989534,11.538186
23700.000000,31,0.799126,3.883942,-3.654911,1.989367,11.154901
23800.000000,31,0.799064,3.883632,-3.437185,1.988782,10.719441
23900.000000,31,0.798991,3.882296,-3.481254,1.989540,10.808390
24000.000000,31,0.798837,3.875451,-3.614041,1.988958,11.063628
24100.000000,31,0.798838,3.874187,-2.926167,1.988963,9.694225
24200.000000,31,0.798403,3.864900,-2.870573,1.988306,9.572477
24300.000000,31,0.798139,3.858546,-2.773101,1.987901,9.371197
24400.000000,31,0.797696,3.851098,-2.683589,1.988115,9.186381
24500.000000,31,0.797932,3.869993,-2.628738,1.988939,9.098392
24600.000000,31,0.798324,3.884964,-2.564748,1.988415,8.984747
24700.000000,31,0.798521,3.887845,-2.385112,1.988866,8.631515
24800.000000,31,0.798392,3.882820,-2.375697,1.988750,8.607488
24900.000000,31,0.798598,3.895905,-2.459441,1.989116,8.788019
25000.000000,31,0.798794,3.896554,-2.507763,1.989120,8.884795
25100.000000,31,0.799321,3.913129,-2.572458,1.990159,9.032730
25200.000000,31,0.799745,3.918368,-2.350393,1.990516,8.596864
25300.000000,31,0.799331,3.909605,-1.720016,1.990079,7.332573
25400.000000,31,0.799762,3.921944,-1.204479,1.990354,6.319284
25500.000000,31,0.799538,3.916733,-0.987588,1.990118,5.882149
25600.000000,31,0.799846,3.917161,-1.557368,1.989648,7.015776
25700.000000,31,0.799769,3.910316,-1.085508,1.989572,6.070013
25800.000000,31,0.799472,3.905310,-0.897592,1.989186,5.690787
25900.000000,31,0.799388,3.900466,-0.930278,1.989035,5.750820
26000.000000,31,0.799449,3.898306,-0.970770,1.989346,5.829505
26100.000000,31,0.798919,3.892718,-0.967472,1.988352,5.816393
26200.000000,31,0.798415,3.884697,-0.773718,1.987595,5.422535
26300.000000,31,0.798191,3.887307,-0.135340,1.986654,4.156180
26400.000000,31,0.798625,3.890590,-0.594778,1.986402,5.072059
26500.000000,31,0.798688,3.895099,-0.349233,1.986151,4.588727
26600.000000,31,0.798367,3.891444,-0.314875,1.985376,4.516589
26700.000000,31,0.798297,3.890375,-0.336837,1.985094,4.559028
26800.000000,31,0.798063,3.884984,-0.371854,1.984739,4.623017
26900.000000,31,0.797754,3.878151,-0.909136,1.984164,5.682026
27000.000000,31,0.797848,3.875122,-0.751161,1.984222,5.365592
27100.000000,31,0.798116,3.877642,-0.814068,1.984982,5.493552
27200.000000,31,0.798135,3.888902,-1.116880,1.985110,6.106031
27300.000000,31,0.798011,3.887302,-1.478360,1.985714,6.822902
27400.000000,31,0.797682,3.879541,-1.272478,1.985474,6.406015
27500.000000,31,0.797553,3.877681,-1.374539,1.985491,6.606816
27600.000000,31,0.797433,3.874526,-1.080538,1.984819,6.019198
27700.000000,31,0.797449,3.869967,-1.059017,1.985199,5.972325
27800.000000,31,0.797292,3.864565,-0.727540,1.985000,5.308733
27900.000000,31,0.797162,3.863630,-0.642024,1.984588,5.137782
28000.000000,31,0.797243,3.863565,-0.602089,1.984714,5.058539
